Bike Type,Store,Order Date,Quantity,Value per Bike,Shipping Date,Model
Mountain,York,2020-09-29,3,1927,2020-10-12,03913/012ORRO
Road,London,2020-11-02,3,1034,2020-11-04,03913/012ORRO
Gravel,Leeds,2020-10-28,2,3667,2020-10-30,48321/001ORRO
Mountain,York,2020-04-14,5,1189,2020-04-21,84123/002ORRO
Gravel,Leeds,2020-11-25,2,787,2020-12-10,12349/014ORRO
Gravel,Leeds,2020-07-02,2,1274,2020-07-21,19312/032ORRO
Road,Manchester,2020-05-14,5,3823,2020-05-30,23144/014ORRO
Gravel,Manchester,2020-09-30,3,2527,2020-10-02,03913/012ORRO
Road,York,2020-12-17,2,1205,2020-12-27,03913/012ORRO
Mountain,York,2020-08-17,1,2524,2020-08-27,48321/001ORRO
Road,York,2020-09-25,5,3013,2020-09-28,84123/002ORRO
Gravel,Birmingham,2020-03-11,5,3593,2020-03-27,12349/014ORRO
Gravel,London,2020-12-10,4,1073,2020-12-15,19312/032ORRO
Gravel,Leeds,2020-11-05,5,1697,2020-11-08,23144/014ORRO
Road,Birmingham,2020-09-07,1,3672,2020-09-13,03913/012ORRO
Gravel,London,2020-06-22,1,3078,2020-06-30,03913/012ORRO
Gravel,Leeds,2020-03-19,1,2012,2020-03-31,48321/001ORRO
Mountain,London,2020-12-21,5,2059,2020-12-30,84123/002ORRO
Mountain,London,2020-09-27,5,3091,2020-10-17,12349/014ORRO
Gravel,Manchester,2020-07-06,5,1495,2020-07-13,19312/032ORRO
Gravel,Birmingham,2020-10-27,5,3178,2020-11-08,23144/014ORRO
Gravel,London,2020-04-06,3,2505,2020-04-24,BROM12042/912
Mountain,Manchester,2020-04-06,2,2503,2020-04-23,BROM93423/120
Mountain,Manchester,2020-03-04,5,1762,2020-03-05,BROM12319/123
Mountain,Leeds,2020-10-04,4,2264,2020-10-11,BROM12459/124
Mountain,Manchester,2020-05-25,2,2380,2020-06-12,BROM12493/230
Mountain,York,2020-03-20,5,1241,2020-03-24,BROM24292/102
Gravel,Leeds,2020-05-01,1,1793,2020-05-15,BROM31821/300
Mountain,York,2020-06-16,5,2803,2020-06-22,BROM34921/102
Road,Manchester,2020-11-13,5,3585,2020-11-24,BROM12042/913
Road,Leeds,2020-05-17,4,2717,2020-05-18,BROM93423/121
Mountain,Birmingham,2020-08-09,2,761,2020-08-13,BROM12319/124
Mountain,Manchester,2020-11-15,3,984,2020-12-04,BROM12459/125
Mountain,Leeds,2020-10-07,5,3399,2020-10-25,BROM12493/231
Mountain,York,2020-04-15,3,2342,2020-05-02,BROM24292/103
Mountain,Leeds,2020-07-29,1,2089,2020-08-17,BROM31821/301
Road,York,2020-04-11,5,1667,2020-04-27,BROM34921/103
Road,London,2020-07-11,4,3115,2020-07-26,BROM12042/914
Road,Leeds,2020-09-24,2,2069,2020-09-28,BROM93423/122
Road,York,2020-04-14,3,3560,2020-05-04,BROM12319/125
Mountain,Leeds,2020-06-30,2,3248,2020-07-12,BROM12459/126
Mountain,Birmingham,2020-05-12,4,3066,2020-05-19,BROM12493/232
Gravel,London,2020-02-03,4,3345,2020-02-17,BROM24292/104
Mountain,Leeds,2020-05-02,1,1719,2020-05-22,BROM31821/302
Road,London,2020-11-09,5,2405,2020-11-15,BROM34921/104
Mountain,Manchester,2020-01-02,5,3144,2020-01-19,BROM12042/915
Road,Birmingham,2020-01-01,5,1004,2020-01-18,BROM93423/123
Gravel,Birmingham,2020-08-18,2,2271,2020-08-28,BROM12319/126
Road,Leeds,2020-04-25,3,3704,2020-05-14,BROM12459/127
Gravel,London,2020-05-06,2,3839,2020-05-11,BROM12493/233
Mountain,Birmingham,2020-11-20,5,3315,2020-11-30,BROM24292/105
Gravel,London,2020-12-22,2,2407,2020-12-31,BROM31821/303
Mountain,Leeds,2020-09-13,5,2607,2020-10-03,BROM34921/105
Gravel,Leeds,2020-09-11,3,2019,2020-09-25,BROM12042/916
Road,Leeds,2020-01-08,4,3959,2020-01-15,BROM93423/124
Gravel,Manchester,2020-12-24,3,1989,2020-12-28,BROM12319/127
Mountain,Birmingham,2020-12-29,4,2059,2021-01-12,BROM12459/128
Gravel,York,2020-09-01,3,2547,2020-09-06,BROM12493/234
Mountain,Manchester,2020-01-26,4,2595,2020-02-06,BROM24292/106
Gravel,London,2020-05-27,3,2192,2020-06-06,BROM31821/304
Mountain,Leeds,2020-03-31,5,3641,2020-04-02,BROM34921/106
Gravel,Leeds,2020-06-21,3,3187,2020-06-25,BROM12042/917
Mountain,Leeds,2020-02-27,4,2660,2020-03-10,BROM93423/125
Mountain,Birmingham,2020-01-25,2,1895,2020-02-06,BROM12319/128
Gravel,Leeds,2020-09-25,4,3536,2020-10-10,BROM12459/129
Mountain,Birmingham,2020-12-11,5,2180,2020-12-17,BROM12493/235
Gravel,York,2020-03-21,5,2168,2020-03-23,BROM24292/107
Road,Birmingham,2020-03-13,5,3029,2020-03-24,BROM31821/305
Gravel,Birmingham,2020-06-20,1,3663,2020-06-27,BROM34921/107
Road,York,2020-10-05,4,3278,2020-10-21,BROM12042/918
Mountain,London,2020-05-23,1,2204,2020-06-03,BROM93423/126
Road,London,2020-04-07,5,2313,2020-04-20,BROM12319/129
Road,Leeds,2020-04-27,3,2937,2020-05-02,BROM12459/130
Mountain,Birmingham,2020-01-04,4,1162,2020-01-08,BROM12493/236
Gravel,Leeds,2020-07-11,4,1107,2020-07-29,BROM24292/108
Mountain,London,2020-08-03,1,1639,2020-08-17,BROM31821/306
Road,Manchester,2020-02-20,5,3611,2020-02-27,BROM34921/108
Road,Manchester,2020-08-11,4,1476,2020-08-28,BROM12042/919
Mountain,Leeds,2020-02-17,1,3427,2020-02-19,BROM93423/127
Mountain,London,2020-07-04,5,3478,2020-07-08,BROM12319/130
Road,Manchester,2020-12-23,2,2139,2021-01-05,BROM12459/131
Gravel,Manchester,2020-08-06,2,2462,2020-08-14,BROM12493/237
Mountain,Manchester,2020-10-17,2,1385,2020-10-30,BROM24292/109
Gravel,York,2020-02-27,2,1812,2020-03-01,BROM31821/307
Gravel,Manchester,2020-08-21,4,2430,2020-09-03,BROM34921/109
Road,Birmingham,2020-02-03,2,2002,2020-02-08,BROM12042/920
Mountain,Birmingham,2020-10-26,3,1872,2020-11-14,BROM93423/128
Mountain,London,2020-02-19,4,1487,2020-03-05,BROM12319/131
Mountain,Birmingham,2020-12-28,2,1871,2021-01-12,BROM12459/132
Mountain,Birmingham,2020-05-06,4,2621,2020-05-12,BROM12493/238
Mountain,Leeds,2020-07-08,1,3869,2020-07-10,BROM24292/110
Mountain,Manchester,2020-05-05,5,997,2020-05-23,BROM31821/308
Mountain,Leeds,2020-01-26,3,3607,2020-02-15,BROM34921/110
Road,Manchester,2020-07-02,4,1797,2020-07-04,BROM12042/921
Mountain,York,2020-08-29,5,2328,2020-09-11,BROM93423/129
Gravel,London,2020-03-14,1,2150,2020-03-28,BROM12319/132
Gravel,Leeds,2020-07-27,1,2056,2020-08-05,BROM12459/133
Mountain,London,2020-04-09,5,1509,2020-04-24,12123/014KONA
Road,Manchester,2020-03-22,2,3825,2020-03-27,84123/192KONA
Road,Manchester,2020-10-03,3,3671,2020-10-05,02381/123KONA
Gravel,York,2020-06-20,3,2622,2020-06-25,83481/012KONA
Gravel,London,2020-01-10,3,925,2020-01-29,93481/014KONA
Road,Birmingham,2020-12-02,4,3564,2020-12-06,94120/015KONA
Mountain,Manchester,2020-03-13,4,1784,2020-03-20,92423/192KONA
Road,London,2020-11-14,4,2454,2020-11-15,83412/824KONA
Road,Leeds,2020-06-16,3,3682,2020-06-18,81233/023KONA
Gravel,London,2020-07-21,2,3826,2020-08-02,12123/014KONA
Gravel,Birmingham,2020-04-08,3,887,2020-04-26,84123/192KONA
Mountain,Leeds,2020-08-18,2,3273,2020-08-22,02381/123KONA
Gravel,Birmingham,2020-06-03,3,854,2020-06-22,83481/012KONA
Mountain,Manchester,2020-11-26,4,2449,2020-12-05,93481/014KONA
Gravel,London,2020-10-02,1,2883,2020-10-07,94120/015KONA
Mountain,London,2020-01-15,4,3831,2020-01-21,92423/192KONA
Mountain,Leeds,2020-06-14,5,3262,2020-06-18,83412/824KONA
Mountain,Birmingham,2020-07-06,5,3866,2020-07-10,81233/023KONA
Mountain,London,2020-02-02,5,1657,2020-02-10,12123/014KONA
Gravel,York,2020-06-26,4,1534,2020-07-04,84123/192KONA
Road,Birmingham,2020-07-09,4,3930,2020-07-12,02381/123KONA
Gravel,London,2020-01-14,3,3689,2020-01-29,83481/012KONA
Gravel,London,2020-07-14,2,2572,2020-07-21,93481/014KONA
Road,London,2020-08-14,1,1494,2020-08-26,94120/015KONA
Mountain,Birmingham,2020-11-08,1,2054,2020-11-15,92423/192KONA
Gravel,Manchester,2020-06-09,4,2976,2020-06-20,83412/824KONA
Mountain,Leeds,2020-08-21,3,1054,2020-08-28,81233/023KONA
Road,London,2020-09-26,1,3989,2020-10-01,12123/014KONA
Gravel,Manchester,2020-12-27,1,1580,2021-01-05,84123/192KONA
Gravel,York,2020-07-10,4,2611,2020-07-25,02381/123KONA
Gravel,London,2020-08-01,5,3079,2020-08-21,83481/012KONA
Gravel,Leeds,2020-05-14,4,3606,2020-05-27,93481/014KONA
Gravel,Leeds,2020-11-30,3,1945,2020-12-01,94120/015KONA
Road,London,2020-10-25,2,3881,2020-11-05,92423/192KONA
Road,Manchester,2020-05-26,2,2163,2020-06-05,83412/824KONA
Road,Birmingham,2020-01-19,1,915,2020-02-07,81233/023KONA
Mountain,York,2020-09-16,4,3094,2020-09-28,12123/014KONA
Gravel,London,2020-02-14,5,2260,2020-02-19,84123/192KONA
Road,Manchester,2020-04-20,4,3086,2020-05-08,02381/123KONA
Mountain,Leeds,2020-05-08,4,3976,2020-05-18,83481/012KONA
Gravel,Leeds,2020-08-09,3,3539,2020-08-27,93481/014KONA
Road,York,2020-01-12,4,2036,2020-01-17,94120/015KONA
Gravel,York,2020-02-28,5,3741,2020-03-17,92423/192KONA
Road,London,2020-06-15,5,2038,2020-06-18,83412/824KONA
Mountain,Leeds,2020-07-15,3,1644,2020-07-17,81233/023KONA
Gravel,London,2020-07-30,3,3820,2020-08-16,12123/014KONA
Mountain,York,2020-05-10,5,3694,2020-05-19,84123/192KONA
Mountain,Manchester,2020-01-09,5,1680,2020-01-13,02381/123KONA
Road,London,2020-06-17,5,1941,2020-06-26,83481/012KONA
Road,Birmingham,2020-09-07,4,3278,2020-09-09,93481/014KONA
Gravel,Birmingham,2020-08-08,5,1439,2020-08-25,94120/015KONA
Mountain,Leeds,2020-07-21,5,2675,2020-08-03,92423/192KONA
Gravel,York,2020-09-18,4,3361,2020-10-01,83412/824KONA
Mountain,York,2020-02-07,5,3186,2020-02-23,81233/023KONA
Road,Leeds,2020-08-31,4,3836,2020-09-03,12123/014KONA
Gravel,London,2020-05-06,4,1976,2020-05-20,84123/192KONA
Road,London,2020-06-29,3,2755,2020-07-14,02381/123KONA
Mountain,York,2020-09-11,1,3859,2020-09-27,83481/012KONA
Mountain,York,2020-11-24,4,2357,2020-12-01,93481/014KONA
Road,London,2020-08-17,3,1967,2020-08-21,94120/015KONA
Gravel,York,2020-09-12,4,3035,2020-10-02,92423/192KONA
Road,Leeds,2020-10-11,1,2037,2020-10-29,83412/824KONA
Road,Manchester,2020-12-18,2,3922,2020-12-23,81233/023KONA
Mountain,London,2020-07-28,4,1954,2020-08-02,12123/014KONA
Mountain,Birmingham,2020-09-08,3,1762,2020-09-18,84123/192KONA
Gravel,Leeds,2020-11-04,4,1819,2020-11-06,02381/123KONA
Gravel,Manchester,2020-06-15,3,2657,2020-07-01,83481/012KONA
Mountain,Leeds,2020-09-03,4,2414,2020-09-09,93481/014KONA
Gravel,Leeds,2020-07-20,2,1278,2020-08-01,94120/015KONA
Gravel,London,2020-07-26,3,2920,2020-08-02,92423/192KONA
Mountain,Birmingham,2020-07-09,3,1212,2020-07-28,83412/824KONA
Gravel,London,2020-07-20,5,1004,2020-08-05,81233/023KONA
Mountain,Birmingham,2020-01-03,5,3033,2020-01-12,12123/014KONA
Gravel,York,2020-01-04,1,906,2020-01-22,84123/192KONA
Gravel,Leeds,2020-04-19,3,2755,2020-04-28,02381/123KONA
Road,Manchester,2020-05-15,2,3820,2020-05-28,83481/012KONA
Road,London,2020-07-27,4,1360,2020-08-09,93481/014KONA
Gravel,York,2020-05-01,1,1219,2020-05-06,94120/015KONA
Mountain,Leeds,2020-03-28,1,3954,2020-03-30,92423/192KONA
Mountain,Birmingham,2020-03-10,2,3261,2020-03-19,83412/824KONA
Mountain,Leeds,2020-08-02,2,1923,2020-08-19,81233/023KONA
Road,London,2020-07-25,3,2576,2020-08-13,12123/014KONA
Mountain,York,2020-12-05,2,2435,2020-12-23,84123/192KONA
Road,Birmingham,2020-12-23,2,1066,2021-01-09,02381/123KONA
Road,York,2020-08-05,2,2693,2020-08-10,83481/012KONA
Mountain,Leeds,2020-05-12,3,1651,2020-05-30,93481/014KONA
Gravel,Leeds,2020-05-30,3,3760,2020-05-31,94120/015KONA
Mountain,London,2020-09-12,3,1221,2020-09-24,92423/192KONA
Mountain,London,2020-09-19,2,3668,2020-10-02,83412/824KONA
Mountain,Birmingham,2020-08-28,5,917,2020-08-29,81233/023KONA
Road,York,2020-12-02,1,2713,2020-12-17,12123/014KONA
Road,Birmingham,2020-06-25,5,1685,2020-07-08,84123/192KONA
Gravel,London,2020-04-10,3,2576,2020-04-22,02381/123KONA
Gravel,Leeds,2020-02-19,5,1277,2020-02-23,83481/012KONA
Gravel,Manchester,2020-08-03,3,2714,2020-08-15,93481/014KONA
Road,London,2020-01-19,3,868,2020-01-27,94120/015KONA
Mountain,Birmingham,2020-02-12,4,2304,2020-02-25,92423/192KONA
Mountain,Leeds,2020-02-04,4,2178,2020-02-15,83412/824KONA
Mountain,Manchester,2020-05-02,2,2215,2020-05-04,81233/023KONA
Gravel,London,2020-02-22,5,2154,2020-02-27,12123/014KONA
Gravel,Leeds,2020-07-06,2,832,2020-07-21,84123/192KONA
Gravel,Manchester,2020-09-29,1,903,2020-10-15,02381/123KONA
Mountain,Manchester,2020-07-28,2,3777,2020-07-30,83481/012KONA
Road,Birmingham,2020-03-09,4,2282,2020-03-26,93481/014KONA
Road,Leeds,2020-08-10,3,2304,2020-08-12,GIA31292/003
Road,London,2020-11-10,2,1161,2020-11-20,GIA21312/001
Gravel,Manchester,2020-08-31,5,1385,2020-09-06,GIA94221/129
Mountain,Manchester,2020-11-15,4,3401,2020-11-21,GIA12442/120
Mountain,York,2020-09-23,4,2484,2020-09-28,GIA12492/123
Gravel,Birmingham,2020-09-07,4,2146,2020-09-23,GIA14293/003
Road,London,2020-04-27,5,2820,2020-04-29,GIA31292/004
Road,Leeds,2020-09-19,2,3957,2020-09-30,GIA21312/002
Mountain,Leeds,2020-04-27,1,1544,2020-05-07,GIA94221/130
Mountain,London,2020-10-23,2,2980,2020-11-08,GIA12442/121
Road,Birmingham,2020-02-25,5,1881,2020-03-06,GIA12492/124
Gravel,London,2020-01-27,1,1532,2020-02-10,GIA14293/004
Mountain,York,2020-05-09,2,3129,2020-05-13,GIA31292/005
Road,Manchester,2020-12-08,1,1898,2020-12-11,GIA31292/004
Gravel,Leeds,2020-11-14,1,1421,2020-11-28,GIA21312/002
Gravel,York,2020-12-24,3,1594,2021-01-03,GIA94221/130
Road,Manchester,2020-03-15,1,1867,2020-03-19,GIA12442/121
Mountain,Birmingham,2020-04-12,5,2037,2020-04-15,GIA12492/124
Gravel,Manchester,2020-10-21,3,2672,2020-11-10,GIA14293/004
Mountain,Leeds,2020-06-04,3,952,2020-06-07,GIA31292/005
Road,Manchester,2020-11-07,4,3367,2020-11-19,GIA21312/003
Road,York,2020-05-07,5,1294,2020-05-13,GIA94221/131
Mountain,York,2020-08-19,2,2115,2020-08-22,GIA12442/122
Road,Birmingham,2020-11-29,1,1851,2020-12-18,GIA12492/125
Gravel,Birmingham,2020-06-07,1,3039,2020-06-27,GIA14293/005
Mountain,York,2020-04-02,1,790,2020-04-03,GIA31292/006
Mountain,Manchester,2020-12-14,1,1637,2020-12-19,GIA31292/005
Road,London,2020-01-21,1,2063,2020-02-09,GIA21312/003
Mountain,York,2020-09-16,4,1862,2020-10-04,GIA94221/131
Mountain,Manchester,2020-12-16,3,3526,2020-12-26,GIA12442/122
Mountain,Leeds,2020-05-27,3,2317,2020-06-10,GIA12492/125
Gravel,Manchester,2020-01-25,3,880,2020-01-31,GIA14293/005
Road,London,2020-06-22,3,3560,2020-06-29,GIA31292/006
Road,Manchester,2020-01-13,1,3584,2020-01-16,GIA21312/004
Gravel,Birmingham,2020-12-25,2,2986,2020-12-26,GIA94221/132
Road,Birmingham,2020-09-04,3,2168,2020-09-06,GIA12442/123
Road,York,2020-07-14,3,3995,2020-07-21,GIA12492/126
Mountain,Birmingham,2020-07-07,3,3014,2020-07-16,GIA14293/006
Gravel,York,2020-04-04,3,3711,2020-04-05,GIA31292/007
Mountain,Birmingham,2020-03-17,3,3639,2020-03-23,GIA31292/006
Mountain,London,2020-05-05,3,3112,2020-05-21,GIA21312/004
Road,Leeds,2020-03-20,1,895,2020-04-07,GIA94221/132
Road,York,2020-06-30,5,1544,2020-07-13,GIA12442/123
Road,Manchester,2020-05-11,4,3340,2020-05-17,GIA12492/126
Road,London,2020-03-31,2,2065,2020-04-01,GIA14293/006
Gravel,Birmingham,2020-05-02,2,1335,2020-05-08,GIA31292/007
Mountain,Leeds,2020-10-14,2,1239,2020-10-31,GIA21312/005
Gravel,London,2020-05-19,1,929,2020-05-20,GIA94221/133
Mountain,London,2020-07-02,4,1722,2020-07-20,GIA12442/124
Road,Leeds,2020-06-23,1,2121,2020-07-12,GIA12492/127
Road,Birmingham,2020-01-31,1,2650,2020-02-15,GIA14293/007
Gravel,Leeds,2020-02-15,1,2597,2020-02-22,GIA31292/008
Road,Leeds,2020-11-27,1,1648,2020-12-09,GIA31292/007
Gravel,Birmingham,2020-11-28,4,2550,2020-12-09,GIA21312/005
Mountain,Leeds,2020-01-16,3,3219,2020-02-03,GIA94221/133
Mountain,Birmingham,2020-08-30,3,1928,2020-09-03,GIA12442/124
Road,York,2020-04-15,5,2602,2020-04-21,GIA12492/127
Road,Birmingham,2020-04-10,2,1511,2020-04-30,GIA14293/007
Mountain,London,2020-07-15,5,1688,2020-07-17,GIA31292/008
Road,Manchester,2020-01-25,5,1588,2020-02-14,GIA21312/006
Gravel,Birmingham,2020-11-11,1,3007,2020-11-19,GIA94221/134
Road,Leeds,2020-11-05,4,2960,2020-11-20,GIA12442/125
Gravel,Manchester,2020-07-15,1,810,2020-08-03,GIA12492/128
Gravel,Birmingham,2020-10-28,3,1337,2020-10-30,GIA14293/008
Road,London,2020-03-31,2,3314,2020-04-04,GIA31292/009
Mountain,London,2020-03-16,3,2591,2020-04-02,GIA31292/008
Gravel,York,2020-09-05,1,1127,2020-09-19,GIA21312/006
Mountain,Leeds,2020-04-14,3,832,2020-04-26,GIA94221/134
Road,Manchester,2020-06-14,2,1284,2020-06-23,GIA12442/125
Mountain,Birmingham,2020-01-13,5,3746,2020-01-25,GIA12492/128
Gravel,London,2020-08-19,2,1029,2020-09-07,GIA14293/008
Mountain,York,2020-12-26,4,3192,2021-01-02,GIA31292/009
Road,Manchester,2020-01-30,5,1093,2020-02-19,GIA21312/007
Mountain,York,2020-06-01,5,3722,2020-06-19,GIA94221/135
Gravel,Manchester,2020-10-25,4,919,2020-11-11,GIA12442/126
Mountain,York,2020-07-01,4,2035,2020-07-14,GIA12492/129
Road,London,2020-02-06,4,2926,2020-02-24,GIA14293/009
Gravel,Leeds,2020-09-25,1,1125,2020-10-13,GIA31292/010
Road,Manchester,2020-05-20,1,2981,2020-06-08,GIA31292/009
Gravel,Leeds,2020-08-28,3,1076,2020-09-05,GIA21312/007
Road,Birmingham,2020-03-24,2,1084,2020-03-29,GIA94221/135
Road,Birmingham,2020-09-01,5,846,2020-09-04,GIA12442/126
Road,Manchester,2020-04-18,1,2118,2020-05-02,GIA12492/129
Road,Birmingham,2020-02-27,3,1787,2020-03-16,GIA14293/009
Gravel,York,2020-04-13,1,3433,2020-04-28,GIA31292/010
Mountain,York,2020-02-05,4,3001,2020-02-16,GIA21312/008
Gravel,Birmingham,2020-12-03,2,2993,2020-12-08,GIA94221/136
Gravel,York,2020-01-20,3,2896,2020-01-25,GIA12442/127
Road,Birmingham,2020-08-19,2,1156,2020-08-26,GIA12492/130
Mountain,Birmingham,2020-03-18,2,887,2020-03-24,GIA14293/010
Road,London,2020-12-09,3,1519,2020-12-29,GIA31292/011
Road,Leeds,2020-08-30,2,2318,2020-09-04,GIA31292/010
Mountain,London,2020-08-15,3,2129,2020-08-25,GIA21312/008
Mountain,London,2020-11-07,1,944,2020-11-18,GIA94221/136
Gravel,Manchester,2020-11-19,3,3626,2020-12-08,GIA12442/127
Road,Birmingham,2020-11-21,5,1819,2020-11-28,GIA12492/130
Gravel,Leeds,2020-08-19,1,3216,2020-09-06,GIA14293/010
Road,Manchester,2020-12-28,4,1206,2021-01-01,GIA31292/011
Road,York,2020-07-18,5,3461,2020-08-05,220SPEC12402
Gravel,Birmingham,2020-11-16,3,1611,2020-12-04,012SPEC24021
Mountain,Birmingham,2020-02-15,2,1654,2020-02-25,043SPEC12400
Gravel,Birmingham,2020-01-04,1,1151,2020-01-24,032SPEC29124
Road,Birmingham,2020-10-27,5,2185,2020-11-05,021SPEC01442
Road,Birmingham,2020-04-08,1,3239,2020-04-25,102SPEC84223
Mountain,Manchester,2020-02-12,5,1599,2020-03-03,012SPEC93581
Gravel,London,2020-01-19,4,2020,2020-01-28,943SPEC24912
Gravel,Leeds,2020-02-17,5,1414,2020-03-08,429SPEC21312
Mountain,Manchester,2020-11-01,2,3779,2020-11-21,942SPEC34342
Mountain,York,2020-03-03,3,944,2020-03-12,120SPEC13492
Road,Birmingham,2020-10-12,2,2541,2020-10-19,220SPEC12403
Gravel,London,2020-07-20,5,3092,2020-08-04,012SPEC24022
Gravel,York,2020-05-20,5,1888,2020-05-26,043SPEC12401
Mountain,Birmingham,2020-10-13,4,2343,2020-10-16,032SPEC29125
Road,Manchester,2020-12-02,5,3829,2020-12-11,021SPEC01443
Gravel,Leeds,2020-02-15,4,1541,2020-02-19,102SPEC84224
Mountain,Birmingham,2020-09-08,4,3391,2020-09-11,012SPEC93582
Road,York,2020-09-19,5,2658,2020-09-23,943SPEC24913
Mountain,Leeds,2020-07-31,4,2916,2020-08-08,429SPEC21313
Mountain,Manchester,2020-05-26,1,2243,2020-06-06,942SPEC34343
Road,Manchester,2020-10-13,3,2136,2020-10-28,120SPEC13493
Mountain,Manchester,2020-04-20,4,1667,2020-05-06,220SPEC12404
Mountain,Manchester,2020-05-03,2,1884,2020-05-23,012SPEC24023
Road,Leeds,2020-05-04,1,1441,2020-05-17,043SPEC12402
Gravel,Manchester,2020-10-22,3,3724,2020-11-05,032SPEC29126
Road,Birmingham,2020-01-17,5,1570,2020-02-04,021SPEC01444
Gravel,Manchester,2020-10-16,5,2043,2020-11-04,102SPEC84225
Road,York,2020-11-22,3,2191,2020-12-01,012SPEC93583
Mountain,Leeds,2020-12-20,5,3868,2021-01-08,943SPEC24914
Gravel,London,2020-07-31,5,1210,2020-08-16,429SPEC21314
Mountain,Leeds,2020-12-04,4,3795,2020-12-24,942SPEC34344
Gravel,York,2020-03-20,2,3303,2020-04-02,120SPEC13494
Mountain,York,2020-10-12,2,2599,2020-11-01,220SPEC12405
Road,Birmingham,2020-04-15,2,1248,2020-04-30,012SPEC24024
Gravel,Manchester,2020-07-22,2,1004,2020-08-03,043SPEC12403
Road,Manchester,2020-02-07,1,1531,2020-02-09,032SPEC29127
Mountain,Manchester,2020-03-31,2,3897,2020-04-16,021SPEC01445
Mountain,London,2020-03-30,5,3465,2020-04-19,102SPEC84226
Gravel,Birmingham,2020-02-20,4,3525,2020-02-24,012SPEC93584
Road,Manchester,2020-02-11,4,1524,2020-02-13,943SPEC24915
Gravel,Leeds,2020-08-11,3,2069,2020-08-21,429SPEC21315
Mountain,Leeds,2020-05-17,3,2831,2020-06-06,942SPEC34345
Mountain,Leeds,2020-11-12,5,2505,2020-11-18,120SPEC13495
Mountain,Leeds,2020-08-27,3,3942,2020-09-14,220SPEC12406
Gravel,London,2020-07-31,5,3173,2020-08-02,012SPEC24025
Mountain,Leeds,2020-10-10,2,3652,2020-10-11,043SPEC12404
Mountain,Manchester,2020-04-05,5,1378,2020-04-16,032SPEC29128
Road,Leeds,2020-12-01,1,1275,2020-12-13,021SPEC01446
Gravel,London,2020-05-30,4,2512,2020-06-05,102SPEC84227
Mountain,Leeds,2020-05-22,1,2689,2020-06-04,012SPEC93585
Road,London,2020-08-03,5,1248,2020-08-20,943SPEC24916
Gravel,Birmingham,2020-12-26,4,2301,2021-01-13,429SPEC21316
Road,Manchester,2020-08-05,1,1459,2020-08-13,942SPEC34346
Gravel,Birmingham,2020-10-11,1,969,2020-10-13,120SPEC13496
Gravel,London,2020-01-30,2,2411,2020-02-15,220SPEC12407
Gravel,York,2020-05-31,4,2306,2020-06-20,012SPEC24026
Road,Leeds,2020-02-03,3,1867,2020-02-09,043SPEC12405
Mountain,Manchester,2020-02-11,3,2086,2020-02-20,032SPEC29129
Gravel,Manchester,2020-05-14,5,2932,2020-05-17,021SPEC01447
Road,York,2020-07-25,4,3577,2020-07-31,102SPEC84228
Mountain,London,2020-06-26,4,3174,2020-06-29,012SPEC93586
Gravel,London,2020-04-12,2,2428,2020-04-20,943SPEC24917
Gravel,Birmingham,2020-09-17,2,1497,2020-09-22,429SPEC21317
Mountain,York,2020-02-22,1,1851,2020-03-05,942SPEC34347
Road,Birmingham,2020-05-26,2,3413,2020-06-02,120SPEC13497
Mountain,Manchester,2020-04-01,2,3811,2020-04-05,220SPEC12408
Gravel,Birmingham,2020-10-09,5,2801,2020-10-12,012SPEC24027
Gravel,Birmingham,2020-09-17,3,1061,2020-09-30,043SPEC12406
Mountain,London,2020-12-04,2,2412,2020-12-17,032SPEC29130
Mountain,London,2020-03-07,5,3101,2020-03-12,021SPEC01448
Road,Manchester,2020-08-23,2,3380,2020-09-06,102SPEC84229
Road,Manchester,2020-09-21,3,1900,2020-09-27,012SPEC93587
Road,Birmingham,2020-04-29,5,1529,2020-05-05,943SPEC24918
Mountain,Leeds,2020-10-12,4,2725,2020-10-25,429SPEC21318
Gravel,Leeds,2020-03-24,2,1826,2020-03-31,942SPEC34348
Mountain,Leeds,2020-04-06,4,2410,2020-04-24,120SPEC13498
Road,Leeds,2020-12-17,4,1572,2021-01-03,220SPEC12409
Road,York,2020-10-19,2,3473,2020-10-26,012SPEC24028
Mountain,Birmingham,2020-11-21,1,3034,2020-12-01,043SPEC12407
Gravel,London,2020-07-05,5,3281,2020-07-07,032SPEC29131
Gravel,York,2020-11-09,2,3969,2020-11-29,021SPEC01449
Mountain,York,2020-11-05,1,2906,2020-11-18,102SPEC84230
Gravel,London,2020-05-20,3,2645,2020-06-01,012SPEC93588
Mountain,Birmingham,2020-09-03,4,1967,2020-09-08,943SPEC24919
Mountain,Birmingham,2020-11-20,1,3122,2020-11-27,429SPEC21319
Gravel,Leeds,2020-02-12,1,1743,2020-02-17,942SPEC34349
Mountain,Birmingham,2020-01-05,4,3827,2020-01-22,120SPEC13499
Mountain,London,2020-07-17,3,1875,2020-07-27,220SPEC12410
Gravel,London,2020-05-16,4,3074,2020-05-22,012SPEC24029
Road,Leeds,2020-02-23,5,1554,2020-03-05,043SPEC12408
Gravel,Leeds,2020-07-20,2,3779,2020-07-25,032SPEC29132
Mountain,Birmingham,2020-12-06,5,3935,2020-12-26,021SPEC01450
Road,London,2020-05-27,4,1964,2020-06-02,102SPEC84231
